Loan_ID,Gender,Married,Dependents,Education,Self_Employed,Property_Area
LP001002,Male,No,0,Graduate,No,Urban
LP001003,Male,Yes,1,Graduate,No,Rural
LP001005,Male,Yes,0,Graduate,Yes,Urban
LP001006,Male,Yes,0,Not Graduate,No,Urban
LP001008,Male,No,0,Graduate,No,Urban
LP001011,Male,Yes,2,Graduate,Yes,Urban
LP001013,Male,Yes,0,Not Graduate,No,Urban
LP001014,Male,Yes,3+,Graduate,No,Semiurban
LP001018,Male,Yes,2,Graduate,No,Urban
LP001020,Male,Yes,1,Graduate,No,Semiurban
LP001024,Male,Yes,2,Graduate,No,Urban
LP001027,Male,Yes,2,Graduate,,Urban
LP001028,Male,Yes,2,Graduate,No,Urban
LP001029,Male,No,0,Graduate,No,Rural
LP001030,Male,Yes,2,Graduate,No,Urban
LP001032,Male,No,0,Graduate,No,Urban
LP001034,Male,No,1,Not Graduate,No,Urban
LP001036,Female,No,0,Graduate,No,Urban
LP001038,Male,Yes,0,Not Graduate,No,Rural
LP001041,Male,Yes,0,Graduate,,Urban
LP001043,Male,Yes,0,Not Graduate,No,Urban
LP001046,Male,Yes,1,Graduate,No,Urban
LP001047,Male,Yes,0,Not Graduate,No,Semiurban
LP001050,,Yes,2,Not Graduate,No,Rural
LP001052,Male,Yes,1,Graduate,,Semiurban
LP001066,Male,Yes,0,Graduate,Yes,Semiurban
LP001068,Male,Yes,0,Graduate,No,Semiurban
LP001073,Male,Yes,2,Not Graduate,No,Urban
LP001086,Male,No,0,Not Graduate,No,Urban
LP001087,Female,No,2,Graduate,,Semiurban
LP001091,Male,Yes,1,Graduate,,Urban
LP001095,Male,No,0,Graduate,No,Urban
LP001097,Male,No,1,Graduate,Yes,Rural
LP001098,Male,Yes,0,Graduate,No,Semiurban
LP001100,Male,No,3+,Graduate,No,Rural
LP001106,Male,Yes,0,Graduate,No,Urban
LP001109,Male,Yes,0,Graduate,No,Urban
LP001112,Female,Yes,0,Graduate,No,Semiurban
LP001114,Male,No,0,Graduate,No,Urban
LP001116,Male,No,0,Not Graduate,No,Semiurban
LP001119,Male,No,0,Graduate,No,Urban
LP001120,Male,No,0,Graduate,No,Urban
LP001123,Male,Yes,0,Graduate,No,Urban
LP001131,Male,Yes,0,Graduate,No,Semiurban
LP001136,Male,Yes,0,Not Graduate,Yes,Urban
LP001137,Female,No,0,Graduate,No,Urban
LP001138,Male,Yes,1,Graduate,No,Urban
LP001144,Male,Yes,0,Graduate,No,Urban
LP001146,Female,Yes,0,Graduate,No,Urban
LP001151,Female,No,0,Graduate,No,Semiurban
LP001155,Female,Yes,0,Not Graduate,No,Semiurban
LP001157,Female,No,0,Graduate,No,Semiurban
LP001164,Female,No,0,Graduate,No,Semiurban
LP001179,Male,Yes,2,Graduate,No,Urban
LP001186,Female,Yes,1,Graduate,Yes,Urban
LP001194,Male,Yes,2,Graduate,No,Semiurban
LP001195,Male,Yes,0,Graduate,No,Semiurban
LP001197,Male,Yes,0,Graduate,No,Rural
LP001198,Male,Yes,1,Graduate,No,Urban
LP001199,Male,Yes,2,Not Graduate,No,Urban
LP001205,Male,Yes,0,Graduate,No,Urban
LP001206,Male,Yes,3+,Graduate,No,Urban
LP001207,Male,Yes,0,Not Graduate,Yes,Rural
LP001213,Male,Yes,1,Graduate,No,Rural
LP001222,Female,No,0,Graduate,No,Semiurban
LP001225,Male,Yes,0,Graduate,No,Semiurban
LP001228,Male,No,0,Not Graduate,No,Urban
LP001233,Male,Yes,1,Graduate,No,Urban
LP001238,Male,Yes,3+,Not Graduate,Yes,Urban
LP001241,Female,No,0,Graduate,No,Semiurban
LP001243,Male,Yes,0,Graduate,No,Urban
LP001245,Male,Yes,2,Not Graduate,Yes,Semiurban
LP001248,Male,No,0,Graduate,No,Semiurban
LP001250,Male,Yes,3+,Not Graduate,No,Semiurban
LP001253,Male,Yes,3+,Graduate,Yes,Semiurban
LP001255,Male,No,0,Graduate,No,Urban
